id,category
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,0
485,0
486,1
487,1
488,0
489,1
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,1
607,1
608,1
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,1
652,1
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,0
673,0
674,0
675,1
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,1
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,0
717,0
718,0
719,0
720,1
721,1
722,1
723,0
724,0
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,1
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,0
749,1
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,1
790,1
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,1
805,1
806,1
807,1
808,0
809,0
810,1
811,1
812,1
