iter	Passed	Remaining
0	70	7004
1	134	6584
2	199	6442
3	265	6377
4	332	6312
5	395	6203
6	460	6121
7	530	6098
8	593	6000
9	658	5926
10	720	5832
11	784	5751
12	848	5677
13	909	5584
14	970	5498
15	1031	5414
16	1093	5338
17	1154	5261
18	1218	5192
19	1283	5132
20	1346	5063
21	1411	5006
22	1475	4939
23	1544	4892
24	1607	4823
25	1668	4749
26	1733	4686
27	1794	4615
28	1855	4542
29	1921	4483
30	1978	4404
31	2040	4335
32	2101	4267
33	2164	4200
34	2221	4126
35	2282	4057
36	2342	3988
37	2400	3916
38	2459	3847
39	2523	3784
40	2591	3729
41	2656	3668
42	2713	3597
43	2773	3529
44	2836	3467
45	2895	3398
46	2961	3340
47	3022	3274
48	3085	3210
49	3145	3145
50	3210	3084
51	3269	3018
52	3336	2958
53	3396	2893
54	3456	2828
55	3523	2768
56	3584	2703
57	3648	2641
58	3708	2576
59	3765	2510
60	3830	2448
61	3889	2384
62	3951	2320
63	4008	2254
64	4069	2191
65	4133	2129
66	4194	2065
67	4252	2001
68	4315	1938
69	4376	1875
70	4435	1811
71	4498	1749
72	4567	1689
73	4626	1625
74	4684	1561
75	4741	1497
76	4803	1434
77	4866	1372
78	4928	1310
79	4988	1247
80	5054	1185
81	5119	1123
82	5175	1060
83	5234	997
84	5302	935
85	5371	874
86	5432	811
87	5491	748
88	5562	687
89	5624	624
90	5688	562
91	5749	499
92	5803	436
93	5860	374
94	5919	311
95	5975	248
96	6034	186
97	6098	124
98	6153	62
99	6214	0
